Date,Executive Headline,Summary,Source URL,Source,Cluster ID,execution_timestamp
2025-11-25,Elon Musk admits other automakers don’t want to license Tesla’s ‘Full Self-Driving’,"After years of teasing that other automakers would license Tesla’s Full Self-Driving (FSD) system, Elon Musk has now admitted that no other automakers want to license it. “They don’t want it. ” He says. more….",https://electrek.co/2025/11/24/elon-musk-admits-automakers-dont-want-license-tesla-full-self-driving/,Electrek,0,2025-11-25T12:19:23.470913
2025-11-24,CPSC warns Rad Power Bikes owners to stop using select batteries immediately due to fire risk,"In an unprecedented move, the US Consumer Product Safety Commission (CPSC) has issued a public safety warning urging owners of certain Rad Power Bikes e-bike batteries to immediately stop using them, citing a risk of fire, explosion, and potentially serious injury or death. more….",https://electrek.co/2025/11/24/cpsc-warns-rad-power-bikes-owners-to-stop-using-select-batteries-immediately-due-to-fire-risk/,Electrek,1,2025-11-25T12:19:23.470913
2025-11-24,Rivian’s e-bike brand launches $250 smart helmet with breakthrough safety tech and lights,"ALSO, the new micromobility brand spun out of Rivian, just announced official pricing for its long-awaited Alpha Wave helmet. The smart helmet, which introduces a brand-new safety tech called the Release Layer System (RLS), is now listed at $250, with “notify for pre-order” now open on ALSO’s site. Deliveries are expected to begin in spring 2026. more….",https://electrek.co/2025/11/24/also-launches-250-alpha-wave-smart-helmet-with-breakthrough-safety-tech-and-lights/,Electrek,2,2025-11-25T12:19:23.470913
2025-11-24,Georgia gets 26 new DC fast-charging stations with $24.4M of NEVI funds,"Georgia is putting more federal National Electric Vehicle Infrastructure (NEVI) dollars to work, with $24. 4 million allocated to 26 new DC fast-charging stations across the state. more….",https://electrek.co/2025/11/24/georgia-gets-26-new-dc-fast-charging-stations-with-24-4m-of-nevi-funds/,Electrek,3,2025-11-25T12:19:23.470913
2025-11-24,Tesla Pushes Mysterious 'Unsupervised' Geofenced Zones To Cars,"A mysterious push of ""unsupervised"" geofenced zones has begun to roll out to cars. Could this be where Unsupervised FSD will launch.",https://insideevs.com/news/779867/test-geofenced-fsd-customer-cars/,Inside EVs,4,2025-11-25T12:19:23.470913
2025-11-24,The new Acura RSX EV spotted at a Tesla Supercharger ahead of its launch,Acura is reviving the RSX to kick off its new generation of electric vehicles. The sporty electric SUV was caught at a Tesla Supercharger with an NACS port ahead of its official launch. more….,https://electrek.co/2025/11/24/new-acura-rsx-ev-spotted-at-tesla-supercharger-images/,Electrek,5,2025-11-25T12:19:23.470913
2025-11-24,I Charged A Cadillac Optiq At A Tesla Supercharger. It Was Disappointing,"The Cadillac Optiq is one of the first General Motors EVs with a Tesla NACS plug. Unfortunately, Supercharger performance isn't great.",https://insideevs.com/news/779895/cadillac-optiq-nacs-tesla-charging-test/,Inside EVs,6,2025-11-25T12:19:23.470913
2025-11-24,Tesla is bleeding AI talent to a small new robotics start-up,Tesla’s AI and robotics divisions are facing a significant “brain drain” as a stealth startup called Sunday Robotics emerges with a roster of engineers from Tesla’s Optimus and Autopilot teams. more….,https://electrek.co/2025/11/24/tesla-bleeding-ai-talent-small-new-robotics-start-up/,Electrek,7,2025-11-25T12:19:23.470913
2025-11-24,Arkansas turns on its first-ever utility-scale wind farm,"Cordelio Power’s 135 MW Crossover Wind farm is officially up and running in Cross County, Arkansas, west of Memphis, Tennessee. It is now officially the first operating wind farm in Arkansas. more….",https://electrek.co/2025/11/24/arkansas-turns-on-its-first-ever-utility-scale-wind-farm/,Electrek,8,2025-11-25T12:19:23.470913
2025-11-24,Tesla Claims Full Self-Driving Is Coming to Europe Soon. Regulators Say Nope,"Tesla wants to deploy Full Self-Driving (Supervised) in Europe. The main regulator in its way says ""not so fast. "".",https://insideevs.com/news/779890/tesla-fsd-europe-approval-2026-netherlands/,Inside EVs,9,2025-11-25T12:19:23.470913
